minimizedAffinity,name,RFScoreVS_v2
-8.09988,ZINC000452104081,5.97889060246
-9.84429,ZINC000650720303,6.08243388824
-9.74653,ZINC000650720303,6.08678282131
-9.67411,ZINC000650720303,6.07293415769
-9.38390,ZINC000650720303,6.06751273057
-9.30933,ZINC000650720303,6.0248301487
-9.21883,ZINC000650720303,6.08563440019
-9.21481,ZINC000650720303,6.081902531
-9.20750,ZINC000650720303,6.05818167239
-9.08809,ZINC000650720303,6.11982425786
-8.73232,ZINC000280696398,5.97875481415
-8.59535,ZINC000280696398,5.97085849901
-8.29552,ZINC000280696398,5.97644949443
-8.11611,ZINC000280696398,5.9917299317
-7.71485,ZINC000280696398,5.96676033117
-7.53638,ZINC000280696398,6.02267019217
-7.51836,ZINC000280696398,5.98952986824
-7.28753,ZINC000280696398,5.96180267803
-7.28633,ZINC000280696398,5.97315953687
-9.29409,ZINC000298731694,5.98153776212
-9.16115,ZINC000298731694,5.9952923752
-9.13649,ZINC000298731694,5.98178268796
-9.10781,ZINC000298731694,5.96936453607
-9.06535,ZINC000298731694,5.98175975289
-9.00845,ZINC000298731694,5.97899155786
-8.94935,ZINC000298731694,5.97697296905
-8.63648,ZINC000298731694,6.02047342552
-8.61866,ZINC000298731694,5.97753213595
-9.49587,ZINC000372295546,5.99293718984
-9.05978,ZINC000372295546,5.99417093718
-8.46433,ZINC000372295546,5.97831036371
-8.37757,ZINC000372295546,5.98778677616
-8.36665,ZINC000372295546,6.01179939922
-8.30774,ZINC000372295546,5.98856227539
-8.26076,ZINC000372295546,5.9603843484
-8.14055,ZINC000372295546,6.00184156935
-8.07310,ZINC000372295546,5.98454161155
-9.34624,ZINC000517755157,6.0009801621
-8.98451,ZINC000517755157,5.99537541433
-8.77205,ZINC000517755157,5.96817479
-8.68271,ZINC000517755157,5.95808924334
-8.65665,ZINC000517755157,5.97682759704
-8.54435,ZINC000517755157,6.00227308168
-8.48073,ZINC000517755157,5.96852744669
-8.41551,ZINC000517755157,5.98910795504
-8.32311,ZINC000517755157,5.96864737782
-9.73632,ZINC000373387982,6.03893677024
-9.66197,ZINC000373387982,6.03829271909
-9.41961,ZINC000373387982,6.073022505
-9.18922,ZINC000373387982,6.0109269269
-9.17718,ZINC000373387982,6.0153217918
-9.05377,ZINC000373387982,6.05225867801
-9.02694,ZINC000373387982,6.0578173804
-8.92822,ZINC000373387982,5.98866366048
-8.87937,ZINC000373387982,6.06511436776
-8.27880,ZINC000619015225,5.9883238934
-8.26301,ZINC000619015225,6.00951006634
-8.19345,ZINC000619015225,5.9846477878
-8.03659,ZINC000619015225,5.95858957152
-7.97986,ZINC000619015225,5.99368923266
-7.97335,ZINC000619015225,5.98217602918
-7.94270,ZINC000619015225,5.96652657823
-7.90633,ZINC000619015225,6.002746209
