minimizedAffinity,name,RFScoreVS_v2
-8.88364,ZINC000298731694 -19.34,6.00723925733
-8.10161,ZINC000358022333 -7.81,5.96729703901
-7.91944,ZINC000358022333 -7.81,5.95478196917
-7.62499,ZINC000358022333 -7.81,5.96569794001
-7.56027,ZINC000358022333 -7.81,5.9532700533
-7.51049,ZINC000358022333 -7.81,5.95590774393
-7.47608,ZINC000358022333 -7.81,5.96211213454
-7.25497,ZINC000358022333 -7.81,5.95558945499
-7.19757,ZINC000358022333 -7.81,5.95506297212
-7.18065,ZINC000358022333 -7.81,5.9541
-8.32314,ZINC000358362485 -18.3,5.98436759334
-8.22044,ZINC000358362485 -18.3,5.95105511153
-8.06781,ZINC000358362485 -18.3,6.01645151583
-7.81507,ZINC000358362485 -18.3,5.9856059851
-7.47331,ZINC000358362485 -18.3,5.99817243794
-7.38943,ZINC000358362485 -18.3,5.99614255815
-7.26273,ZINC000358362485 -18.3,5.96781780273
-7.20003,ZINC000358362485 -18.3,5.96548617855
-7.12558,ZINC000358362485 -18.3,6.02183819897
-8.60293,ZINC000365552749 -3.85,6.03719884533
-8.35494,ZINC000365552749 -3.85,6.03576141964
-8.03527,ZINC000365552749 -3.85,6.05903853438
-7.84223,ZINC000365552749 -3.85,6.02601162005
-7.67564,ZINC000365552749 -3.85,6.1407100172
-7.62075,ZINC000365552749 -3.85,6.01556523541
-7.52911,ZINC000365552749 -3.85,6.02125907713
-7.45668,ZINC000365552749 -3.85,6.03638091882
-7.27392,ZINC000365552749 -3.85,6.02693096495
-8.71202,ZINC000379812577 41.5,5.99081093688
-8.47318,ZINC000379812577 41.5,5.98134970826
-8.18024,ZINC000379812577 41.5,5.95635261771
-7.94296,ZINC000379812577 41.5,5.97965520625
-7.82090,ZINC000379812577 41.5,5.97464454556
-7.63599,ZINC000379812577 41.5,5.96146994641
-7.63327,ZINC000379812577 41.5,5.98100826302
-7.33879,ZINC000379812577 41.5,5.99246373434
-7.31960,ZINC000379812577 41.5,5.96205530858
-8.05727,ZINC000379812577 41.5,5.97738620484
-8.00880,ZINC000379812577 41.5,5.97819872465
-7.80664,ZINC000379812577 41.5,5.96200279469
-7.72688,ZINC000379812577 41.5,5.97914986059
-7.71470,ZINC000379812577 41.5,5.99209083196
-7.58435,ZINC000379812577 41.5,5.96039960641
-7.46247,ZINC000379812577 41.5,5.98349822497
-7.31422,ZINC000379812577 41.5,5.96323541075
-7.07814,ZINC000379812577 41.5,5.9741141582
-8.20648,ZINC000413570733 103.62,5.95675903238
-8.15825,ZINC000413570733 103.62,5.96689298613
-8.06390,ZINC000413570733 103.62,5.96679709182
-8.02581,ZINC000413570733 103.62,5.97306054064
-7.98116,ZINC000413570733 103.62,5.9566574447
-7.97539,ZINC000413570733 103.62,5.96206980825
-7.89266,ZINC000413570733 103.62,5.96312054749
-7.75962,ZINC000413570733 103.62,5.95502233655
-7.52206,ZINC000413570733 103.62,5.97475731745
-7.76472,ZINC000413570733 103.62,5.95
-7.75063,ZINC000413570733 103.62,5.96147309479
-7.51422,ZINC000413570733 103.62,5.96148352007
-7.32532,ZINC000413570733 103.62,5.97102173761
-7.26443,ZINC000413570733 103.62,5.96643343046
-6.97383,ZINC000413570733 103.62,5.99835991891
-6.93010,ZINC000413570733 103.62,5.96611742837
-6.59698,ZINC000413570733 103.62,5.95349794001
-5.94252,ZINC000413570733 103.62,5.95431697713
-7.88397,ZINC000413570733 103.62,5.95256143871
-7.83200,ZINC000413570733 103.62,5.95755285296
-7.34116,ZINC000413570733 103.62,5.95
-7.32491,ZINC000413570733 103.62,5.95979176003
-7.11276,ZINC000413570733 103.62,5.96704257941
-6.85610,ZINC000413570733 103.62,5.97763101097
-6.43334,ZINC000413570733 103.62,5.95
-6.42719,ZINC000413570733 103.62,5.9677434855
-6.23310,ZINC000413570733 103.62,5.95436393933
-7.76541,ZINC000413570733 103.62,5.97398376466
-7.33909,ZINC000413570733 103.62,5.95
-6.97492,ZINC000413570733 103.62,5.96304460364
-6.86285,ZINC000413570733 103.62,5.95
-6.60005,ZINC000413570733 103.62,5.96269189842
-6.37876,ZINC000413570733 103.62,5.96004163751
-6.32448,ZINC000413570733 103.62,5.96633837972
-6.20847,ZINC000413570733 103.62,5.96054020335
-6.19421,ZINC000413570733 103.62,5.96036726592
-7.85762,ZINC000413570733 103.62,5.96537859793
-7.23860,ZINC000413570733 103.62,5.96929887786
-7.12091,ZINC000413570733 103.62,5.97802207322
-7.01990,ZINC000413570733 103.62,5.96677789617
-6.67709,ZINC000413570733 103.62,5.96592495856
-6.16999,ZINC000413570733 103.62,5.95682851652
-5.94547,ZINC000413570733 103.62,5.96630104618
-5.78763,ZINC000413570733 103.62,5.95642735703
-5.63546,ZINC000413570733 103.62,5.96382005251
-9.81018,ZINC000298731694 -19.34,5.9882297943
-9.56755,ZINC000298731694 -19.34,5.96712878878
-9.52579,ZINC000298731694 -19.34,5.97940494285
-9.06825,ZINC000298731694 -19.34,5.98322335421
-9.06541,ZINC000298731694 -19.34,5.96843545753
-8.71513,ZINC000298731694 -19.34,5.97618607369
-8.70642,ZINC000298731694 -19.34,5.97220250383
-8.59115,ZINC000298731694 -19.34,6.02135886099
-8.41391,ZINC000298731694 -19.34,6.02509692349
-8.18069,ZINC000414969678 73.94,5.97085262821
-8.01659,ZINC000414969678 73.94,5.96103701092
-7.95946,ZINC000414969678 73.94,5.96366387333
